InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,3
400,0,0
500,0,0
600,0,0
700,0,0
800,0,1
900,0,1
1000,0,0
1100,0,1
1200,1,1
1300,1,1
1400,1,1
1500,1,5
1600,1,1
1700,1,2
1800,1,3
1900,1,3
2000,2,3
2100,1,3
2200,2,3
2300,2,3
2400,2,3
2500,2,4
2600,3,4
2700,3,8
2800,3,9
2900,3,10
3000,4,9
3100,4,9
3200,5,9
3300,5,10
3400,5,13
3500,5,10
3600,5,11
3700,5,8
3800,5,12
3900,7,9
4000,6,13
4100,7,14
4200,8,11
4300,7,16
4400,8,15
4500,8,16
4600,8,17
4700,9,17
4800,9,18
4900,9,19
5000,10,23
5100,10,20
5200,10,21
5300,12,25
5400,11,22
5500,12,23
5600,12,27
5700,14,25
5800,13,29
5900,15,30
6000,14,27
6100,14,32
6200,18,36
6300,16,34
6400,16,35
6500,17,37
6600,17,37
6700,18,38
6800,19,42
6900,19,40
7000,20,47
7100,22,48
7200,23,47
7300,23,48
7400,24,51
7500,24,52
7600,24,52
7700,25,54
7800,26,54
7900,26,55
8000,27,60
8100,27,61
8200,28,62
8300,29,64
8400,29,68
8500,32,67
8600,33,69
8700,33,72
8800,33,71
8900,33,72
9000,36,76
9100,35,81
9200,36,79
9300,37,84
9400,38,89
9500,39,86
9600,39,86
9700,41,93
9800,41,90
9900,42,93
10000,43,98
10100,44,101
10200,45,100
10300,47,106
10400,46,105
10500,47,110
10600,48,111
10700,49,114
10800,53,112
10900,56,114
11000,58,120
11100,54,118
11200,54,122
11300,56,127
11400,56,126
11500,59,133
11600,61,131
11700,64,138
11800,63,138
11900,64,141
12000,63,144
12100,69,143
12200,69,148
12300,71,155
12400,70,160
12500,71,165
12600,76,172
12700,76,167
12800,82,168
12900,86,178
13000,80,176
13100,81,177
13200,79,172
13300,82,176
13400,86,180
13500,90,179
13600,90,183
13700,90,187
13800,89,187
13900,92,196
14000,93,197
14100,91,193
14200,92,198
14300,97,205
14400,101,206
14500,97,217
14600,100,213
14700,105,218
14800,101,223
14900,105,222
15000,105,226
15100,107,228
15200,119,232
15300,112,237
15400,113,234
15500,114,248
15600,119,242
15700,120,254
15800,119,263
15900,122,263
16000,123,265
16100,123,263
16200,129,269
16300,127,281
16400,131,267
16500,136,280
16600,131,277
16700,135,279
16800,142,283
16900,142,284
17000,142,297
17100,140,295
17200,144,312
17300,150,301
17400,150,311
17500,152,308
17600,151,313
17700,154,309
17800,154,317
17900,158,325
18000,165,323
18100,168,337
18200,165,346
18300,165,345
18400,169,345
18500,170,344
18600,183,354
18700,185,369
18800,184,351
18900,178,354
19000,178,368
19100,179,369
19200,185,375
19300,181,369
19400,185,370
19500,188,383
19600,191,393
19700,190,402
19800,196,394
19900,205,397
