InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,2,0,0
500,8,0,0
600,0,0,0
700,0,0,0
800,1,0,0
900,0,0,0
1000,0,0,0
1100,0,0,0
1200,0,0,0
1300,0,0,0
1400,0,0,0
1500,0,0,0
1600,0,0,0
1700,0,0,0
1800,0,0,0
1900,16,0,0
2000,0,0,0
2100,0,0,0
2200,0,0,0
2300,0,0,0
2400,16,0,0
2500,0,0,0
2600,0,0,0
2700,16,0,0
2800,1,0,0
2900,1,0,0
3000,14,0,0
3100,1,0,0
3200,13,0,0
3300,0,0,0
3400,15,0,0
3500,13,0,0
3600,3,0,0
3700,16,0,0
3800,12,0,0
3900,3,0,0
4000,16,0,0
4100,15,0,0
4200,16,0,0
4300,13,0,0
4400,16,0,0
4500,16,0,0
4600,19,0,0
4700,19,0,0
4800,16,0,0
4900,19,0,0
5000,16,0,0
5100,16,0,0
5200,28,0,0
5300,19,0,0
5400,16,0,0
5500,31,0,0
5600,16,0,0
5700,32,0,0
5800,21,0,0
5900,25,0,0
6000,33,0,0
6100,29,0,0
6200,26,0,0
6300,25,0,0
6400,31,0,0
6500,41,0,0
6600,34,0,0
6700,31,0,3
6800,34,0,0
6900,51,0,0
7000,37,0,0
7100,47,0,0
7200,40,0,0
7300,44,0,0
7400,44,0,0
7500,47,0,0
7600,52,0,0
7700,53,0,0
7800,51,0,0
7900,48,0,0
8000,52,0,0
8100,58,0,0
8200,51,0,0
8300,64,0,0
8400,56,0,0
8500,59,0,0
8600,60,0,0
8700,63,0,0
8800,65,0,0
8900,68,0,0
9000,68,0,0
9100,65,0,0
9200,76,0,0
9300,73,3,0
9400,75,0,0
9500,73,0,3
9600,80,0,0
9700,79,0,0
9800,87,0,0
9900,80,0,0
10000,80,0,0
10100,93,0,0
10200,90,0,0
10300,91,0,0
10400,91,0,0
10500,93,0,0
10600,97,0,0
10700,104,0,0
10800,100,0,0
10900,103,0,0
11000,103,0,0
11100,109,0,0
11200,108,0,0
11300,113,0,0
11400,110,0,0
11500,114,0,0
11600,114,0,0
11700,118,0,0
11800,145,0,0
11900,126,0,0
12000,124,0,0
12100,128,0,0
12200,126,0,0
12300,134,0,0
12400,133,0,0
12500,138,0,0
12600,137,0,0
12700,172,0,0
12800,146,0,0
12900,144,0,0
13000,143,0,0
13100,157,0,0
13200,188,0,0
13300,154,0,0
13400,155,0,0
13500,156,0,0
13600,168,0,0
13700,166,0,0
13800,198,0,0
13900,172,0,0
14000,178,0,0
14100,174,0,0
14200,181,0,0
14300,181,0,0
14400,182,0,0
14500,187,0,0
14600,186,0,0
14700,189,0,0
14800,197,0,0
14900,193,0,0
15000,200,0,0
15100,196,0,0
15200,203,0,0
15300,209,0,0
15400,207,0,0
15500,210,0,0
15600,214,0,0
15700,216,0,0
15800,226,0,0
15900,219,0,0
16000,273,0,0
16100,231,3,0
16200,232,0,0
16300,232,0,0
16400,237,0,0
16500,238,0,0
16600,241,0,0
16700,251,0,0
16800,254,0,0
16900,259,0,0
17000,254,0,0
17100,258,0,0
17200,268,0,0
17300,279,0,0
17400,267,0,0
17500,293,0,0
17600,277,0,0
17700,277,0,0
17800,290,0,0
17900,339,0,0
18000,297,0,0
18100,302,0,0
18200,294,0,0
18300,308,0,0
18400,308,0,0
18500,311,0,0
18600,315,0,0
18700,309,0,0
18800,323,0,0
18900,320,0,0
19000,324,0,0
19100,325,0,0
19200,408,0,0
19300,327,0,0
19400,333,0,0
19500,337,0,0
19600,344,0,0
19700,353,0,0
19800,348,0,0
19900,357,0,0
