InputIndices,TestResults
0,0
100,0
200,0
300,1
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,9
1400,6
1500,0
1600,0
1700,0
1800,0
1900,12
2000,3
2100,0
2200,0
2300,3
2400,12
2500,0
2600,3
2700,6
2800,6
2900,0
3000,3
3100,9
3200,3
3300,3
3400,10
3500,3
3600,3
3700,9
3800,4
3900,8
4000,8
4100,4
4200,7
4300,11
4400,5
4500,3
4600,9
4700,6
4800,10
4900,6
5000,9
5100,11
5200,8
5300,8
5400,7
5500,9
5600,6
5700,13
5800,3
5900,17
6000,6
6100,12
6200,15
6300,6
6400,9
6500,16
6600,12
6700,10
6800,10
6900,16
7000,22
7100,16
7200,13
7300,3
7400,15
7500,16
7600,21
7700,15
7800,19
7900,13
8000,16
8100,16
8200,16
8300,12
8400,14
8500,16
8600,15
8700,16
8800,19
8900,16
9000,16
9100,16
9200,15
9300,16
9400,18
9500,22
9600,21
9700,19
9800,17
9900,15
10000,19
10100,16
10200,25
10300,26
10400,17
10500,14
10600,22
10700,25
10800,19
10900,19
11000,23
11100,22
11200,19
11300,16
11400,28
11500,19
11600,16
11700,31
11800,16
11900,24
12000,23
12100,19
12200,25
12300,25
12400,18
12500,22
12600,25
12700,22
12800,28
12900,22
13000,33
13100,24
13200,27
13300,22
13400,28
13500,25
13600,28
13700,22
13800,25
13900,28
14000,22
14100,30
14200,27
14300,25
14400,31
14500,27
14600,26
14700,29
14800,25
14900,22
15000,31
15100,30
15200,25
15300,28
15400,28
15500,31
15600,25
15700,25
15800,33
15900,28
16000,38
16100,28
16200,25
16300,31
16400,28
16500,31
16600,32
16700,33
16800,31
16900,29
17000,31
17100,31
17200,31
17300,41
17400,31
17500,33
17600,29
17700,34
17800,33
17900,37
18000,38
18100,34
18200,31
18300,33
18400,34
18500,41
18600,31
18700,35
18800,37
18900,33
19000,37
19100,34
19200,35
19300,31
19400,41
19500,31
19600,38
19700,34
19800,37
19900,44
