InputListSize,ResultsTest1,ResultsTest2
0,24,80
100,4824,5504
200,9624,10704
300,14424,15904
400,19224,21104
500,24024,26304
600,28824,31504
700,33624,36704
800,38424,41904
900,43224,47104
1000,48024,52304
1100,52824,57504
1200,57624,62704
1300,62424,67904
1400,67224,73104
1500,72024,78304
1600,76824,83504
1700,81624,88704
1800,86424,93904
1900,91224,99104
2000,96024,104304
2100,100824,109504
2200,105624,114704
2300,110424,119904
2400,115224,125104
2500,120024,130304
2600,124824,135504
2700,129624,140704
2800,134424,145904
2900,139224,151104
3000,144024,156304
3100,148824,161504
3200,153624,166704
3300,158424,171904
3400,163224,177104
3500,168024,182304
3600,172824,187504
3700,177624,192704
3800,182424,197904
3900,187224,203104
4000,192024,208304
4100,196824,213504
4200,201624,218704
4300,206424,223904
4400,211224,229104
4500,216024,234304
4600,220824,239504
4700,225624,244704
4800,230424,249904
4900,235224,255104
5000,240024,260304
5100,244824,265504
5200,249624,270704
5300,254424,275904
5400,259224,281104
5500,264024,286304
5600,268824,291504
5700,273624,296704
5800,278424,301904
5900,283224,307104
6000,288024,312304
6100,292824,317504
6200,297624,322704
6300,302424,327904
6400,307224,333104
6500,312024,338304
6600,316824,343504
6700,321624,348704
6800,326424,353904
6900,331224,359104
7000,336024,364304
7100,340824,369504
7200,345624,374704
7300,350424,379904
7400,355224,385104
7500,360024,390304
7600,364824,395504
7700,369624,400704
7800,374424,405904
7900,379224,411104
8000,384024,416304
8100,388824,421504
8200,393624,426704
8300,398424,431904
8400,403224,437104
8500,408024,442304
8600,412824,447504
8700,417624,452704
8800,422424,457904
8900,427224,463104
9000,432024,468304
9100,436824,473504
9200,441624,478704
9300,446424,483904
9400,451224,489104
9500,456024,494304
9600,460824,499504
9700,465624,504704
9800,470424,509904
9900,475224,515104
10000,480024,520304
10100,484824,525504
10200,489624,530704
10300,494424,535904
10400,499224,541104
10500,504024,546304
10600,508824,551504
10700,513624,556704
10800,518424,561904
10900,523224,567104
11000,528024,572304
11100,532824,577504
11200,537624,582704
11300,542424,587904
11400,547224,593104
11500,552024,598304
11600,556824,603504
11700,561624,608704
11800,566424,613904
11900,571224,619104
12000,576024,624304
12100,580824,629504
12200,585624,634704
12300,590424,639904
12400,595224,645104
12500,600024,650304
12600,604824,655504
12700,609624,660704
12800,614424,665904
12900,619224,671104
13000,624024,676304
13100,628824,681504
13200,633624,686704
13300,638424,691904
13400,643224,697104
13500,648024,702304
13600,652824,707504
13700,657624,712704
13800,662424,717904
13900,667224,723104
14000,672024,728304
14100,676824,733504
14200,681624,738704
14300,686424,743904
14400,691224,749104
14500,696024,754304
14600,700824,759504
14700,705624,764704
14800,710424,769904
14900,715224,775104
15000,720024,780304
15100,724824,785504
15200,729624,790704
15300,734424,795904
15400,739224,801104
15500,744024,806304
15600,748824,811504
15700,753624,816704
15800,758424,821904
15900,763224,827104
16000,768024,832304
16100,772824,837504
16200,777624,842704
16300,782424,847904
16400,787224,853104
16500,792024,858304
16600,796824,863504
16700,801624,868704
16800,806424,873904
16900,811224,879104
17000,816024,884304
17100,820824,889504
17200,825624,894704
17300,830424,899904
17400,835224,905104
17500,840024,910304
17600,844824,915504
17700,849624,920704
17800,854424,925904
17900,859224,931104
18000,864024,936304
18100,868824,941504
18200,873624,946704
18300,878424,951904
18400,883224,957104
18500,888024,962304
18600,892824,967504
18700,897624,972704
18800,902424,977904
18900,907224,983104
19000,912024,988304
19100,916824,993504
19200,921624,998704
19300,926424,1003904
19400,931224,1009104
19500,936024,1014304
19600,940824,1019504
19700,945624,1024704
19800,950424,1029904
19900,955224,1035104
